Year,Month,A,B,C,D,E,F,G
1911,1,168.8,168.0,174.9,179.5,175.2,171.5,184.0
1911,2,123.1,121.5,127.8,131.2,127.4,124.3,135.9
1911,3,108.1,106.4,111.9,116.7,110.1,106.0,122.0
1911,4,61.6,60.6,63.7,66.5,63.1,61.0,70.8
1911,5,32.3,33.2,35.2,35.5,33.6,32.3,38.6
1911,6,18.9,19.1,20.2,20.8,20.4,19.9,23.9
1911,7,24.3,24.3,26.1,26.6,26.1,25.5,30.1
1911,8,44.9,45.7,48.8,48.9,47.8,46.6,52.9
1911,9,72.6,72.3,75.6,77.9,74.0,71.9,81.8
1911,10,113.2,111.3,116.1,119.7,114.0,111.0,124.0
1911,11,154.6,153.1,159.3,164.3,158.4,154.5,169.8
1911,12,164.6,160.6,168.4,176.5,165.3,158.8,180.8
1912,1,185.3,180.9,188.0,196.0,186.7,181.3,199.1
1912,2,148.8,145.8,153.7,160.2,153.4,149.5,166.5
1912,3,114.3,112.2,118.4,124.1,117.3,113.2,130.6
1912,4,64.1,62.2,65.6,69.6,64.0,60.7,73.2
1912,5,37.4,37.1,39.5,40.8,39.3,38.1,44.8
1912,6,21.0,21.0,22.5,22.9,22.8,22.3,26.3
1912,7,25.8,26.1,28.0,28.2,27.7,27.0,31.3
1912,8,47.0,47.8,51.1,51.0,50.4,49.0,56.2
1912,9,79.5,78.7,82.4,85.2,80.9,78.3,90.1
1912,10,123.0,121.7,127.7,131.0,126.3,122.6,137.6
1912,11,134.8,132.2,137.8,144.2,134.5,127.6,147.4
1912,12,163.6,162.1,173.7,177.7,174.7,171.0,188.7
1913,1,173.5,169.6,176.0,183.8,174.5,169.4,186.5
1913,2,143.0,140.9,148.5,153.8,148.5,144.6,160.8
1913,3,98.4,97.2,102.7,107.2,102.0,98.5,114.2
1913,4,66.5,64.8,68.7,72.1,68.5,67.2,79.4
1913,5,33.7,33.4,34.9,36.6,33.8,33.1,39.1
1913,6,24.3,23.9,25.3,26.8,24.5,22.9,28.9
1913,7,27.4,27.5,29.9,30.5,29.5,28.5,33.9
1913,8,47.3,47.3,50.7,51.6,50.0,48.8,57.2
1913,9,73.5,73.4,76.8,78.3,75.3,74.0,83.1
1913,10,111.7,110.7,116.7,119.2,115.5,113.6,125.3
1913,11,138.4,135.9,141.7,147.6,140.0,135.3,152.2
1913,12,178.6,176.3,185.2,191.3,184.7,180.4,198.4
1914,1,179.7,175.9,183.3,190.2,182.9,178.4,194.1
1914,2,147.4,146.1,153.5,157.4,154.0,151.0,164.0
1914,3,113.0,111.3,117.5,122.4,116.6,113.5,128.9
1914,4,63.5,62.3,66.1,69.3,65.5,62.7,74.8
1914,5,33.3,33.3,35.5,35.9,35.9,35.1,39.9
1914,6,23.9,23.5,24.9,26.2,24.5,23.4,28.8
1914,7,25.8,25.8,28.0,28.9,27.8,26.6,32.3
1914,8,51.4,51.3,54.6,55.6,54.3,52.9,60.6
1914,9,81.0,80.0,83.8,86.6,82.7,80.5,90.9
1914,10,125.4,124.8,131.0,133.6,131.2,130.0,141.4
1914,11,147.2,146.4,153.2,158.3,152.0,148.4,163.3
1914,12,165.7,162.8,171.5,178.4,170.7,166.4,186.7
1915,1,177.3,174.0,182.3,189.2,183.7,180.5,196.6
1915,2,141.7,138.6,146.3,153.1,146.0,141.9,160.3
1915,3,115.1,112.7,118.9,124.7,117.9,113.6,131.2
1915,4,64.5,63.1,66.9,70.5,66.3,63.8,75.9
1915,5,33.2,33.1,35.2,36.1,34.8,33.6,39.8
1915,6,21.1,21.4,23.1,23.6,23.2,22.4,26.7
1915,7,24.5,25.1,27.9,28.1,27.7,27.2,31.3
1915,8,44.5,45.3,48.6,48.6,48.2,47.3,54.2
1915,9,77.2,77.4,81.4,82.5,81.5,80.5,89.0
1915,10,111.8,111.2,116.6,119.5,115.4,112.9,126.6
1915,11,144.2,142.1,148.5,155.1,145.9,139.5,159.1
1915,12,169.9,168.1,177.3,182.8,178.1,174.7,192.7
1916,1,171.4,167.1,176.0,184.2,175.9,170.3,190.2
1916,2,144.5,142.7,150.3,155.1,151.0,148.1,163.2
1916,3,116.5,115.9,122.6,126.2,123.8,121.8,135.0
1916,4,59.3,58.4,61.7,64.4,61.2,59.2,69.2
1916,5,36.0,35.7,37.9,39.2,37.7,36.6,42.7
1916,6,18.4,18.8,19.9,20.0,19.9,19.6,22.8
1916,7,25.9,26.2,28.1,28.4,27.8,27.5,31.4
1916,8,41.8,42.7,45.9,45.6,46.0,45.5,51.9
1916,9,65.2,65.3,68.9,70.3,68.4,66.9,76.3
