Year,Month,EildonInflow,Reach1,Reach2,Reach3,Reach4
1891,7,186782.00,9537.03,40628.94,8637.66,37695.57
1891,8,223207.00,43521.91,46566.64,8103.23,40132.63
1891,9,170823.00,24597.03,19454.63,3534.23,17531.00
1891,10,238715.00,19730.92,28941.71,656.85,9933.00
1891,11,91536.00,13542.24,21757.20,781.32,4086.00
1891,12,45039.00,9785.85,11320.98,1625.36,1393.00
1892,1,23111.00,6984.74,5332.57,414.84,4870.00
1892,2,13513.00,3616.58,3231.58,105.75,3566.00
1892,3,27534.00,8081.76,6432.47,648.23,5435.00
1892,4,20853.00,4216.43,6465.95,317.51,4543.00
1892,5,72046.00,15554.01,19721.57,6464.02,11123.00
1892,6,151370.00,32904.04,41922.24,25072.94,20858.00
1892,7,336670.00,77886.04,65638.87,81032.29,59999.24
1892,8,190620.00,50177.76,41426.68,37924.01,30167.47
1892,9,219220.00,39137.06,60100.91,44849.04,37742.47
1892,10,136510.00,35328.24,39094.11,21149.26,19190.00
1892,11,95195.00,20050.44,28394.95,9529.66,14002.00
1892,12,51719.00,18099.29,13111.25,3337.92,8526.00
1893,1,14548.00,3889.15,3303.49,145.03,3755.00
1893,2,13136.00,3621.15,2926.07,103.58,2947.00
1893,3,13701.00,3638.30,3307.96,122.97,3166.00
1893,4,6512.00,2209.18,1298.29,12.37,2539.00
1893,5,147990.00,31242.21,38465.29,24536.10,20767.00
1893,6,191750.00,31894.78,54497.29,38366.28,30498.54
1893,7,170969.00,44110.37,56038.47,108525.81,114286.86
1893,8,466044.00,71994.16,157915.83,166753.08,209704.00
1893,9,467377.00,59163.75,150792.69,152653.52,128300.03
1893,10,268187.00,43435.24,127943.30,155489.49,68407.88
1893,11,113487.00,20007.54,32181.74,12392.17,16002.00
1893,12,70433.00,9994.34,20250.38,2693.38,6009.00
1894,1,40770.00,6195.88,13142.69,864.89,2585.00
1894,2,20185.00,2888.62,3299.02,250.83,1323.00
1894,3,21478.00,3532.91,4161.48,574.99,1912.00
1894,4,24048.00,3616.20,4113.72,427.18,2482.00
1894,5,102572.00,12478.15,13377.84,771.09,4489.00
1894,6,82753.00,9298.13,13049.38,3107.52,4038.00
1894,7,251744.00,27504.33,28994.52,11.46,10183.00
1894,8,426124.00,48447.47,87709.75,38593.41,57649.96
1894,9,563760.00,89518.39,166451.87,153014.85,169115.00
1894,10,445482.00,88218.60,193083.52,243815.98,189822.00
