Year,Month,A,B,C,D,E,F,G
1911,01,87.9,57.1,52.2,84.4,34.1,19.1,36.2
1911,02,127.4,152.0,151.7,134.7,207.4,158.8,133.0
1911,03,105.9,138.4,91.1,72.5,80.9,87.5,45.5
1911,04,37.7,42.4,16.0,15.5,14.7,21.7,4.3
1911,05,144.1,181.1,116.7,123.1,103.0,79.2,69.6
1911,06,206.3,284.5,159.4,136.9,100.5,82.0,60.8
1911,07,123.1,131.9,71.9,90.4,49.9,51.3,29.4
1911,08,59.9,58.6,39.2,42.5,29.6,29.9,15.7
1911,09,89.5,99.3,67.9,55.4,72.7,83.8,46.8
1911,10,65.9,85.3,36.6,27.4,23.7,25.4,8.3
1911,11,21.5,30.2,13.0,6.7,5.8,5.5,5.6
1911,12,109.9,150.3,74.7,59.4,63.8,89.1,29.1
1912,01,33.0,37.6,22.3,29.4,6.8,4.4,10.3
1912,02,31.1,34.3,24.9,18.9,18.4,27.4,19.4
1912,03,33.4,35.2,20.6,20.2,20.0,20.9,9.2
1912,04,63.1,96.2,37.8,21.2,20.3,26.5,4.2
1912,05,28.9,53.4,27.8,8.6,19.4,19.9,4.9
1912,06,86.6,102.3,71.4,97.7,73.2,64.6,57.3
1912,07,140.1,148.1,113.8,156.6,96.3,76.2,81.6
1912,08,81.3,96.4,50.2,61.5,36.9,41.3,34.1
1912,09,205.8,194.9,117.0,136.9,135.6,126.2,64.9
1912,10,54.2,76.0,32.0,26.8,14.3,19.5,9.0
1912,11,143.9,145.5,108.0,149.5,65.3,59.6,78.8
1912,12,102.6,138.5,82.8,87.3,80.1,83.2,54.6
1913,01,39.8,41.3,21.3,25.0,5.1,4.9,8.5
1913,02,39.9,39.0,29.1,43.0,41.1,48.9,24.1
1913,03,202.9,209.5,136.8,136.3,112.6,104.3,84.4
1913,04,55.0,66.1,42.2,32.3,53.3,42.6,22.0
1913,05,108.2,135.7,83.5,88.2,67.1,52.9,61.4
1913,06,91.5,94.8,74.5,94.8,72.4,57.4,51.2
1913,07,68.1,79.4,42.1,49.8,42.0,42.2,17.5
1913,08,141.4,149.2,75.6,93.0,60.0,65.9,30.3
1913,09,70.9,81.0,53.3,74.2,55.0,67.4,40.3
1913,10,107.7,92.5,48.8,79.6,43.6,39.7,45.1
1913,11,119.6,153.7,63.4,51.2,34.2,36.7,15.9
1913,12,44.7,62.0,42.1,41.1,32.8,31.8,18.6
1914,01,50.5,47.8,26.8,44.2,12.4,19.6,12.5
1914,02,4.5,2.0,1.4,2.5,1.4,2.9,1.4
1914,03,54.1,46.5,45.8,49.7,53.1,31.3,21.9
1914,04,89.7,96.0,58.9,61.5,53.3,60.7,40.1
1914,05,114.9,149.4,78.0,74.6,46.5,37.8,29.7
1914,06,41.8,63.6,36.9,30.1,20.9,20.2,10.0
1914,07,122.3,150.3,56.5,65.2,39.6,47.0,18.3
1914,08,31.3,41.4,16.9,18.1,14.3,13.8,9.1
1914,09,42.4,61.7,29.4,18.6,14.2,12.4,5.1
1914,10,5.4,8.2,3.2,1.1,2.7,2.1,0.5
1914,11,56.9,71.4,49.6,48.3,48.1,50.7,31.5
1914,12,92.8,105.3,80.6,83.3,70.9,76.7,50.5
1915,01,55.6,56.9,34.0,30.2,26.3,30.6,16.8
1915,02,22.4,31.0,24.5,10.6,22.5,21.8,9.6
1915,03,13.9,20.3,6.6,5.9,4.0,4.7,0.9
1915,04,70.0,105.8,70.0,45.2,49.5,41.8,26.6
1915,05,143.9,182.3,122.9,161.5,87.0,68.1,62.2
1915,06,169.2,166.6,106.3,159.8,103.9,97.7,63.3
1915,07,103.1,96.3,70.1,110.2,67.0,69.2,48.4
1915,08,203.9,213.4,118.0,151.2,100.0,84.5,58.4
1915,09,163.2,149.5,114.4,116.1,106.8,106.6,70.9
1915,10,145.7,173.7,91.9,97.5,55.3,53.8,42.3
1915,11,55.9,70.4,30.6,30.5,19.2,18.2,7.1
1915,12,34.5,28.1,14.7,32.7,7.6,7.8,8.8
1916,01,72.6,90.9,68.3,47.2,53.1,48.1,43.0
1916,02,49.8,43.4,30.9,30.6,37.2,26.9,19.4
1916,03,16.5,12.6,6.7,8.0,1.5,1.1,2.1
1916,04,102.1,114.8,57.2,73.1,31.8,40.2,22.5
1916,05,55.6,62.5,45.1,47.2,38.9,26.2,26.4
1916,06,124.1,129.0,94.1,145.3,99.2,99.2,78.5
1916,07,144.5,143.8,106.4,156.8,93.3,86.8,66.6
